titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
Programador,Empresa tecnológica,Hace 36 horas (Actualizada),Se requiere una persona con conocimientos en programación e inglés.,"Programación en .net, visual basic y C#","Álava, Burgos, La Rioja",Teletrabajo parcial,"['Programador', 'Programador .NET', 'Categoría o nivelTécnico']",Jornada Completa,No se requiere experiencia,Contrato Indefinido,Retribución sin especificar,1,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/programador/3016590/,infoempleo
Programador Oracle Islas Baleares,SPRING DESARROLLOS INFORMATICOS SANITARIOS,Hace 1 hora (Actualizada),- Ingeniería técnica o superior en informática. Fp 2 Superior en informática.- Al menos 3 años como desarrollador en tecnología Oracle para entornos de alta disponibilidad.- Disposición a aprender. Abierto/a a nuevas tecnologías.- Es imprescindible establecer residencia en Mallorca.,"Las funciones consisten en desarrollo de software en entornos de alta disponibilidad. En este caso buscamos también que seas experto en PL/SQl.Aunque utilizamos Oracle, no será la única tecnología que utilices. Te formamos en nuevas tecnologías. De hecho, la idea es que migres a otras tecnologías. Los detalles, en la entrevista de trabajo.",Islas Baleares,Teletrabajo parcial,"['Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Entre 30.000 y 35.000€ Brutos/anuales,0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/programador-oracle/islas-baleares/3017256/,infoempleo
Ingeniero/a Informático/a Electrónico/a Vila Real (Castellón),Areajob Spain ETT,Hace 30 horas (Actualizada),"-Conocimientos en: Microprocesadores: ESP32, Microchip, Nordic, Ublox, etc.-Desarrollo de firmware y software para aplicaciones embebidas.-Diseño de PCB's-Se valorarán conocimientos en IOT, GIS, GPS, RTLS, MQTT, otros,...-Experiencia en desarrollo y gestión de equipos.-Programador back o full stack-Experiencia/conocimientos de:-Arquitectura de sistemas-NodeJS y ReactJS-AWS-Inglés",-Desarrollo de Firmware y Software.-Diseño de PCBs-Programación Back o full Stack.,Vila Real (Castellón),Teletrabajo parcial,"['Programador IoT', 'Ingeniero de Software C++', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Entre 23.000 y 45.000€ Brutos/anuales,1,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/ingenieroa-informaticoa-electronicoa/vila-real/3016925/,infoempleo
Project Manager | 60% Remote | English C1 Barcelona (Barcelona),Page Personnel,Hace 30 horas (Actualizada),"Strong communication skills.  Ability to present complex technical concepts to a non-technical audience.  Must be proactive, innovative, and creative in meeting user needs.  Customer service-oriented and empathetic to user demands.  Ability to work independently with minimal supervision.  Energy and enthusiasm for learning, along with a clear desire to continue to develop and grow in knowledge and experience.  Team player.  Organizational and leadership skills.  Able to work on multiple projects simultaneously.","As a team member of the PMO, will be responsible ofmanaging projects to implement or enhance systems and processes for mulOple areas of the company. Also he will have to ensure project deliverables are within the de?ned quality.  Project Planning: Develop a detailed project plan that includes defining objectives, scope, timelines, required resources, and budget.  Resource Management: Assign tasks and responsibilities to team members, ensuring they have the necessary resources to carry out their functions.  Progress Monitoring: Oversee project progress to ensure deadlines are met and established milestones are achieved.  Risk Management: Identify and assess potential project risks, develop mitigation strategies, and be prepared to address unforeseen issues.  Communication: Keep all stakeholders informed about project progress, potential issues, and implemented solutions.  Team Coordination: Facilitate collaboration among team members and ensure effective communication.  Problem Solving: Address problems and challenges that arise during the project, seeking effective solutions and minimizing negative impacts.",Barcelona,Teletrabajo parcial,"['Jefe de Proyecto', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,1,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/project-manager-60-remote-english-c1/barcelona/3016905/,infoempleo
Responsable de Sistemas Microsoft Hernani (Guipúzcoa),ORONA S.COOP,Hace 30 horas (Actualizada),"SERÁ PRIORITARIO:    Formación técnica alineada con experiencia.    Experiencia previa de al menos 3-5 años en puestos similares.    Experiencia en gestión de equipos, análisis e interlocución con cliente.    Conocimientos técnicos sólidos del entorno Windows.    Conocimientos entorno Office 365.    Conocimientos sobre entornos de escritorio remoto (CITRIX y/o VMWARE).SERÁ VALORABLE:Conocimientos de Cloud AWS (Amazon Web Services).OTRAS HABILIDADES:    Inglés técnico conversacional. Valorables otros idiomas: Alemán, Francés,...    Definición y aplicación de metodologías.    Habilidades de comunicación y de gestión del cambio.    Dinamismo, proactividad y autonomía.    Capacidad de liderazgo de proyectos.    Trabajo en equipo y entornos colaborativos.    Actitud de aprendizaje e interés por mantenerse actualizado en tecnología.","Deseamos incorporar en Hernani un/a Responsable de Sistemas Microsoft  con capacidad de desarrollo.Tus funciones serán:    Gestionar los proyectos y Servicios de su ámbito de responsabilidad.    Asegurar el correcto funcionamiento de los entornos Windows, CITRIX y VMWare.    Responsable de activos sujetos a migración tecnológica.    Gestionar la infraestructura del entorno Windows, CITRIX y VMWare.    Participación en procesos de anexión de empresas (Nacionales e Internacionales).    La Interlocución y cooperación con otros agentes de la organización para lograr alineamiento con las directrices de infraestructuras y del negocio    Colaborar en la mejora e innovación del ámbito.",Hernani (Guipúzcoa),,"['Jefe de Sistemas', 'Categoría o nivelMando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,3,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/responsable-de-sistemas-microsoft/hernani/3016900/,infoempleo
Desarrollador Ruby on Rails - 100% REMOTO España,Page Personnel,Hace 30 horas (Actualizada),Candidato con al menos 2 años de experiencia en Ruby on Rails.,- Desarrollo de nuevos evolutivos.- Desarrollo y migración de productos IT.- Mantenimiento de los desarrollos ya existentes.,España,Teletrabajo 100%,"['Analista-Programador', 'Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-ruby-on-rails-100-remoto/espanna/3016866/,infoempleo
Técnico/a informático 89c79c23 San Javier (Murcia),Adecco,Hace 30 horas (Actualizada),"-Mínimo 5 años de experiencia en microinformática y administración de servidores.-Disponer de conocimientos sólidos en sistemas operativos, especialmente Microsoft Windows Server.-Acostumbrado a la gestión y análisis de grandes volúmenes de datos.-Actitud proactiva y acostumbrado/a a la toma de decisiones.","Desde Adecco, buscamos un/a técnico/a informático para unirse a uno de nuestros clientes, una empresa del sector agrícola ubicada en la provincia de Murcia. Serás responsable de brindar soporte técnico y resolver problemas relacionados con el software y hardware de los clientes internos de la compañía¿Cuáles serán tus funciones?-Mantenimiento de sistemas operativos.-Windows Server.-Soporte técnico.-Gestión y análisis.Si cumples con los requisitos y buscas un salto profesional a una empresa estable y donde poder asentar tu carrera profesional, ¡no lo dudes e inscríbete!En Adecco creemos en la igualdad de oportunidades y apostamos por el Talento Sin Etiquetas",San Javier (Murcia),,"['Administrador de Sistemas', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",,Al menos 5 años de experiencia,,24.000€ Brutos/anuales,2,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-informatico-89c79c23/san-javier/3016843/,infoempleo
Administrador/Desarrollador Moodle Madrid,Page Personnel,Hace 27 horas (Actualizada),Candidato con alto nivel de inglés y al menos 2 años de experiencia en puesto similar.,- Reuniones con diferentes stackeholders a nivel internacional para analizar mejoras de la plataforma.- Comunicación con equipo de desarrollo IT para realizar mejoras y evolutivos.- Implementación de evolutivos de la plataforma en diferentes países.- Mantenimiento y configuración de la plataforma.,Madrid,Teletrabajo parcial,"['Administrador de Bases de Datos', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/administradordesarrollador-moodle/madrid/3016805/,infoempleo
Técnico de Soporte - Híbrido San Fernando de Henares (Madrid),Page Personnel,Hace 30 horas (Actualizada),- Formación FPII ASIR o superior- Conocimiento Cloud- Conocimiento Workspace One o Ivanti EPMM- Inglés B2,Técnico de Soporte UEM - Híbrido - San Fernando Henares- Atención a usuarios in situ/ remoto - Resolución de incidencias- Atención a clientes.- Formación a clientes en UEM. Fabricantes como Soti-Ivanti-VMware-Microsoft,San Fernando de Henares (Madrid),,"['Técnico de Soporte', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,5,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/tecnico-de-soporte-hibrido/san-fernando-de-henares/3016797/,infoempleo
PHP Developer con Laravel Tarragona (Tarragona),Page Personnel,Hace 27 horas (Actualizada),Tienes +3 años de experiencia como desarrollador  Tienes +2 años de experiencia trabajando con PHP y Laravel  Tienes experiencia con bases de datos relacionales como MySQL  Valorable conocimientos de frontend  Valorable conocimientos de Drupal  Valorable experiencia en metodologías ágiles,"Desarrollarás la parte back-end de los diferentes proyectos web de los actuales y nuevos clientes de la agencia  Participarás tanto en nuevos proyectos desde cero como en proyectos ya existentes  Desarrollarás del lado del servidor utilizando un stack de PHP con Laravel, entre otras tecnologías  Serás la persona encargada de liderar el desarrollo back-end, con lo que disfrutarás de mucha autonomía al mismo tiempo que trabajas en equipo con desarrolladores frontend, maquetadores, diseñadores...  Aportarás nuevas ideas y propondrás nuevas tecnologías que puedan ser de utilidad para los proyectos de actuales y futuros clientes",Tarragona,,"['Analista-Programador', 'Programador', 'Programador PHP', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,1,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/php-developer-con-laravel/tarragona/3016751/,infoempleo
iOS Technical Lead Otros Paises,THE WISE SEEKER S.L,Hace 30 horas (Actualizada),"Design, develop and maintain mobile applications for iOS devices.• Collaborate with the product team and other developers to understand requirements and develop solutions that meet business needs.• Ensure code quality, testability, and maintainability of the application.• Write clean, efficient, and well­documented code.• Participate in code reviews and provide constructive feedback to other developers.• Work closely with the UX/UI team to ensure a seamless user experience.• Troubleshoot and debug issues as they arise in the application.• Stay up to date with emerging trends and technologies in mobile development and apply them as appropriate.",- At least 8 years of total experience in mobile development and 3 years at leadership role.- This position requires good communication in English.- Desirable: Experience in the relevant industry is a plus,Otros Paises - HO CHI MINH CITY - Vietnam,Teletrabajo parcial,"['Responsable de Desarrollo', 'Programador iOS', 'Categoría o nivelMando intermedio Técnico']",Jornada Completa,Entre 1 y 6 años de experiencia,Contrato Indefinido,Retribución sin especificar,0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/ios-technical-lead/ho-chi-minh-city-vietnam/3016891/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 30 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
Beca soporte informático. Santa Cruz de Tenerife,TECH España,Hace 30 horas (Actualizada),"-  Estar cursando en la actualidad una formación en Ciclo Medio, Superior o Grado Universitario en Informática, electrónica o formaciones afines.- Disponibilidad de realizar un convenio en prácticas con su centro de estudios (Requisito imprescindible).","1.	Reparación de equipos portátiles.2.	Formación como Soporte IT (Se les formaría en entornos de trabajo basados en Tickets-JIRA).3.	Resolución de incidencias (Windows, Android, PowerShell, Mac, Azure...).4.	Resoluciones presenciales y remotas con usuarios.5.	Formación en conocimientos básicos de Datos (SQL).",Santa Cruz de Tenerife,,['Categoría o nivel'],Jornada Completa,No se requiere experiencia,Contrato Prácticas,Entre 5.000 y 6.000€ Brutos/anuales,1,2024-01-29,https://www.infoempleo.com/ofertasdetrabajo/beca-soporte-informatico/santa-cruz-de-tenerife/3014563/,infoempleo
