titulo,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Arquitecto Cloud Big Data,"['Cloud', 'Arquitecto', 'Big Data']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.",Madrid,Remoto parcial,"
Definir la arquitectura y la infraestructura para satisfacer las necesidades cambiantes de nuestro negocio y nuevos casos de uso en el campo de los dato
Crear y mantener un entorno de Data Lake y Data Labs eficiente y de alto rendimiento.
Facilitar la productivización de modelos analíticos y predictivos y su integración con operaciones y socios externos.
Implementar soluciones de virtualización de datos en diversas nubes.
Colaborar estrechamente con equipos de desarrollo, incluyendo Data Scientists, Data Analysts e Ingenieros de Datos, para proporcionar entornos de trabajo en la nube efectivos.
Administrar y optimizar la plataforma de datos y analítica avanzada.
Utilizar Infraestructura como Código (IaC) para agilizar la implementación y gestión de la infraestructura en la nube.
Establecer una arquitectura de contenedores, microservicios y eventos para las operaciones en la nube.
Implementar automatizaciones y controles de seguridad en los procesos de implementación.
Definir y mantener las mejores prácticas en seguridad, operaciones y costes para nuestra plataforma de datos en la nube.
Garantizar la observabilidad y el rendimiento de los productos y la plataforma de operaciones.
Supervisar y facilitar la puesta en producción de modelos de Machine Learning e Inteligencia Artificial en la plataforma.
Diseñar la arquitectura e infraestructura para la integración con soluciones de Gobierno de Datos y terceros.
",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/arquitecto-cloud-big-data-1102,talenthacker
Arquitecto Cloud Big Data,"['Cloud', 'Arquitecto', 'Big Data']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.",Madrid,Remoto parcial,"
Definir la arquitectura y la infraestructura para satisfacer las necesidades cambiantes de nuestro negocio y nuevos casos de uso en el campo de los dato
Crear y mantener un entorno de Data Lake y Data Labs eficiente y de alto rendimiento.
Facilitar la productivización de modelos analíticos y predictivos y su integración con operaciones y socios externos.
Implementar soluciones de virtualización de datos en diversas nubes.
Colaborar estrechamente con equipos de desarrollo, incluyendo Data Scientists, Data Analysts e Ingenieros de Datos, para proporcionar entornos de trabajo en la nube efectivos.
Administrar y optimizar la plataforma de datos y analítica avanzada.
Utilizar Infraestructura como Código (IaC) para agilizar la implementación y gestión de la infraestructura en la nube.
Establecer una arquitectura de contenedores, microservicios y eventos para las operaciones en la nube.
Implementar automatizaciones y controles de seguridad en los procesos de implementación.
Definir y mantener las mejores prácticas en seguridad, operaciones y costes para nuestra plataforma de datos en la nube.
Garantizar la observabilidad y el rendimiento de los productos y la plataforma de operaciones.
Supervisar y facilitar la puesta en producción de modelos de Machine Learning e Inteligencia Artificial en la plataforma.
Diseñar la arquitectura e infraestructura para la integración con soluciones de Gobierno de Datos y terceros.
",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/arquitecto-cloud-big-data-1102,talenthacker
Arquitecto Cloud Big Data,"['Cloud', 'Arquitecto', 'Big Data']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.",Madrid,Remoto parcial,"
Definir la arquitectura y la infraestructura para satisfacer las necesidades cambiantes de nuestro negocio y nuevos casos de uso en el campo de los dato
Crear y mantener un entorno de Data Lake y Data Labs eficiente y de alto rendimiento.
Facilitar la productivización de modelos analíticos y predictivos y su integración con operaciones y socios externos.
Implementar soluciones de virtualización de datos en diversas nubes.
Colaborar estrechamente con equipos de desarrollo, incluyendo Data Scientists, Data Analysts e Ingenieros de Datos, para proporcionar entornos de trabajo en la nube efectivos.
Administrar y optimizar la plataforma de datos y analítica avanzada.
Utilizar Infraestructura como Código (IaC) para agilizar la implementación y gestión de la infraestructura en la nube.
Establecer una arquitectura de contenedores, microservicios y eventos para las operaciones en la nube.
Implementar automatizaciones y controles de seguridad en los procesos de implementación.
Definir y mantener las mejores prácticas en seguridad, operaciones y costes para nuestra plataforma de datos en la nube.
Garantizar la observabilidad y el rendimiento de los productos y la plataforma de operaciones.
Supervisar y facilitar la puesta en producción de modelos de Machine Learning e Inteligencia Artificial en la plataforma.
Diseñar la arquitectura e infraestructura para la integración con soluciones de Gobierno de Datos y terceros.
",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/arquitecto-cloud-big-data-1102,talenthacker
Data Engineer Snowflake,"['Snowflake', 'AWS', 'Spark SQL', 'Scala']","Nuestro cliente es una empresa tecnológica de vanguardia que se destaca por ofrecer soluciones innovadoras en diversas industrias. Con un fuerte enfoque en investigación y desarrollo, sobresale en la entrega de software y servicios tecnológicos de última generación. La compañía se distingue por su compromiso en la aplicación de tecnologías avanzadas como inteligencia artificial, análisis de datos e IoT para crear soluciones a medida que satisfacen las necesidades únicas de sus clientes. Actualmente se encuentran buscando a un Data Engineer con experiencia en SnowFlake para uno de sus clientes más importantes. ",madrid,Remoto,"Buscamos un Data Engineer con experiencia trabajando con AWS y SnowFlake para un proyecto de larga duración de uno de nuestros clientes de referencia. Entre las responsabilidades del día a día se encuentran:Diseño e implementación de modelos Snowflake,Soporte correctivo y evolutivo en Snowflake.Migración de BBDD Redshift a Snowflake.Desarrollo de procesos ETL en AWS.Contacto con el equipo y cliente. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/data-engineer-snowflake-1100,talenthacker
Data Engineer Snowflake,"['Snowflake', 'AWS', 'Spark SQL', 'Scala']","Nuestro cliente es una empresa tecnológica de vanguardia que se destaca por ofrecer soluciones innovadoras en diversas industrias. Con un fuerte enfoque en investigación y desarrollo, sobresale en la entrega de software y servicios tecnológicos de última generación. La compañía se distingue por su compromiso en la aplicación de tecnologías avanzadas como inteligencia artificial, análisis de datos e IoT para crear soluciones a medida que satisfacen las necesidades únicas de sus clientes. Actualmente se encuentran buscando a un Data Engineer con experiencia en SnowFlake para uno de sus clientes más importantes. ",madrid,Remoto,"Buscamos un Data Engineer con experiencia trabajando con AWS y SnowFlake para un proyecto de larga duración de uno de nuestros clientes de referencia. Entre las responsabilidades del día a día se encuentran:Diseño e implementación de modelos Snowflake,Soporte correctivo y evolutivo en Snowflake.Migración de BBDD Redshift a Snowflake.Desarrollo de procesos ETL en AWS.Contacto con el equipo y cliente. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/data-engineer-snowflake-1100,talenthacker
Data Engineer Snowflake,"['Snowflake', 'AWS', 'Spark SQL', 'Scala']","Nuestro cliente es una empresa tecnológica de vanguardia que se destaca por ofrecer soluciones innovadoras en diversas industrias. Con un fuerte enfoque en investigación y desarrollo, sobresale en la entrega de software y servicios tecnológicos de última generación. La compañía se distingue por su compromiso en la aplicación de tecnologías avanzadas como inteligencia artificial, análisis de datos e IoT para crear soluciones a medida que satisfacen las necesidades únicas de sus clientes. Actualmente se encuentran buscando a un Data Engineer con experiencia en SnowFlake para uno de sus clientes más importantes. ",madrid,Remoto,"Buscamos un Data Engineer con experiencia trabajando con AWS y SnowFlake para un proyecto de larga duración de uno de nuestros clientes de referencia. Entre las responsabilidades del día a día se encuentran:Diseño e implementación de modelos Snowflake,Soporte correctivo y evolutivo en Snowflake.Migración de BBDD Redshift a Snowflake.Desarrollo de procesos ETL en AWS.Contacto con el equipo y cliente. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Data/data-engineer-snowflake-1100,talenthacker
IT Product Manager,"['IT Product Manager', 'APIs', 'Scrum']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.
Están buscando incorporar un IT Product Manager.",Madrid,Remoto parcial,"
Definición, seguimiento y adaptación del roadmap anual de funcionalidades a abordar desde la plataforma digital, en concordancia con las necesidades de negocio, la gestión de obsolescencia, y el presupuesto asignado.
Definición de KPIs de producto tecnológico y seguimiento de los mismos.
Interlocución con los stakeholders de diferentes áreas para asegurar que roadmap funcional de la plataforma cubre las necesidades y espectativas.
Visión estrategía de la evolución de la plataforma digital, anticipando necesidades y aportando innovación constante al roadmap del producto tecnológico.
Trabajo integrado en equipos multidisciplinares sin reporte directo.
Rol de Product Owner sobre la plataforma Digital.
",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Digital/it-product-manager-1101,talenthacker
IT Product Manager,"['IT Product Manager', 'APIs', 'Scrum']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.
Están buscando incorporar un IT Product Manager.",Madrid,Remoto parcial,"
Definición, seguimiento y adaptación del roadmap anual de funcionalidades a abordar desde la plataforma digital, en concordancia con las necesidades de negocio, la gestión de obsolescencia, y el presupuesto asignado.
Definición de KPIs de producto tecnológico y seguimiento de los mismos.
Interlocución con los stakeholders de diferentes áreas para asegurar que roadmap funcional de la plataforma cubre las necesidades y espectativas.
Visión estrategía de la evolución de la plataforma digital, anticipando necesidades y aportando innovación constante al roadmap del producto tecnológico.
Trabajo integrado en equipos multidisciplinares sin reporte directo.
Rol de Product Owner sobre la plataforma Digital.
",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Digital/it-product-manager-1101,talenthacker
IT Product Manager,"['IT Product Manager', 'APIs', 'Scrum']","Empresa dedicada a salvaguardar lo que consideran más valioso. Destacan como la principal aseguradora española a nivel mundial y la multinacional líder en seguros en Latinoamérica, figurando entre los 15 principales grupos europeos en cuanto a volumen de primas.
Con una sólida trayectoria de 90 años, sienten un profundo orgullo al ofrecer soluciones innovadoras en seguros y servicios para proteger a individuos y empresas en todo el globo. La misión se centra en acompañar a los clientes, facilitando su progreso con tranquilidad y contribuyendo al desarrollo de una sociedad más sostenible y solidaria. Se comprometen a brindar lo mejor de sí cada día, manteniéndose siempre cercanos a los 31 millones de clientes que confían en ellos.
Con presencia en todos los continentes, aseguran solvencia, fomentan la innovación, proporcionan un servicio de primera y actúan con integridad. En su visión, creen en el potencial de las personas. Su equipo multicultural y diverso impulsa el éxito, haciendo realidad la visión y misión con talento, pasión y experiencia a diario.
Están buscando incorporar un IT Product Manager.",Madrid,Remoto parcial,"
Definición, seguimiento y adaptación del roadmap anual de funcionalidades a abordar desde la plataforma digital, en concordancia con las necesidades de negocio, la gestión de obsolescencia, y el presupuesto asignado.
Definición de KPIs de producto tecnológico y seguimiento de los mismos.
Interlocución con los stakeholders de diferentes áreas para asegurar que roadmap funcional de la plataforma cubre las necesidades y espectativas.
Visión estrategía de la evolución de la plataforma digital, anticipando necesidades y aportando innovación constante al roadmap del producto tecnológico.
Trabajo integrado en equipos multidisciplinares sin reporte directo.
Rol de Product Owner sobre la plataforma Digital.
",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Digital/it-product-manager-1101,talenthacker
Senior Developer,"['FullStack', '.Net']","Trabajamos siendo una compañía muy muy buena en lo nuestros, nos dedicamos a servicios concretos trabajando en un desarrollo de calidad y conforme a un servicio TOP para todos nuestros clientes. Además, los desarrollos que estamos trabajando siempre son orientados aun producto creado por nosotros de principio a fin, por lo somos desarrolladores acostumbrados a crear productos desde cero. ¿Cómo lo ves? ¿Te unes? Te cuento lo que necesitamos! ",Madrid,Remoto parcial,"Si te apasiona la programación y deseas trabajar en proyectos multinacionales, esta es tu oportunidad. En Quasar buscamos personas con perfil senior en programación Web .NET MVC con experiencia en Visual Studio, para trabajar en proyectos basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. 
Los proyectos están basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. El IDE es Visual Studio 2019. Utilizamos Xamarin para las apps. Las bases de datos son SQL Server Azure y su acceso mediante Entity Framework, LINQ y ADO.NET. El diseño se hace con Bootstrap, Kendo, y librerías como Chart.js Los reports se obtendrán mediante SQL Reporting services.
Se utilizarán Web API REST con JSON y servicios WCF para las comunicaciones con otros sistemas.",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Development/senior-developer-964,talenthacker
Senior Developer,"['FullStack', '.Net']","Trabajamos siendo una compañía muy muy buena en lo nuestros, nos dedicamos a servicios concretos trabajando en un desarrollo de calidad y conforme a un servicio TOP para todos nuestros clientes. Además, los desarrollos que estamos trabajando siempre son orientados aun producto creado por nosotros de principio a fin, por lo somos desarrolladores acostumbrados a crear productos desde cero. ¿Cómo lo ves? ¿Te unes? Te cuento lo que necesitamos! ",Madrid,Remoto parcial,"Si te apasiona la programación y deseas trabajar en proyectos multinacionales, esta es tu oportunidad. En Quasar buscamos personas con perfil senior en programación Web .NET MVC con experiencia en Visual Studio, para trabajar en proyectos basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. 
Los proyectos están basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. El IDE es Visual Studio 2019. Utilizamos Xamarin para las apps. Las bases de datos son SQL Server Azure y su acceso mediante Entity Framework, LINQ y ADO.NET. El diseño se hace con Bootstrap, Kendo, y librerías como Chart.js Los reports se obtendrán mediante SQL Reporting services.
Se utilizarán Web API REST con JSON y servicios WCF para las comunicaciones con otros sistemas.",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Development/senior-developer-964,talenthacker
Senior Developer,"['FullStack', '.Net']","Trabajamos siendo una compañía muy muy buena en lo nuestros, nos dedicamos a servicios concretos trabajando en un desarrollo de calidad y conforme a un servicio TOP para todos nuestros clientes. Además, los desarrollos que estamos trabajando siempre son orientados aun producto creado por nosotros de principio a fin, por lo somos desarrolladores acostumbrados a crear productos desde cero. ¿Cómo lo ves? ¿Te unes? Te cuento lo que necesitamos! ",Madrid,Remoto parcial,"Si te apasiona la programación y deseas trabajar en proyectos multinacionales, esta es tu oportunidad. En Quasar buscamos personas con perfil senior en programación Web .NET MVC con experiencia en Visual Studio, para trabajar en proyectos basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. 
Los proyectos están basados en tecnología ASP.NET MVC de Microsoft en lenguaje C# bajo plataforma de Azure. El IDE es Visual Studio 2019. Utilizamos Xamarin para las apps. Las bases de datos son SQL Server Azure y su acceso mediante Entity Framework, LINQ y ADO.NET. El diseño se hace con Bootstrap, Kendo, y librerías como Chart.js Los reports se obtendrán mediante SQL Reporting services.
Se utilizarán Web API REST con JSON y servicios WCF para las comunicaciones con otros sistemas.",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-02-10,https://talenthackers.net/spots/Development/senior-developer-964,talenthacker
